0.17,67.406,3503.17,2897.04,32.24,54828.7,697.415,22.02,8.714,
0.023,55.085,3521.94,2845.02,33.902,57688.4,730.164,25.417,9.011,
0.03,56.693,3502.31,2840.66,34.174,57669,723.952,24.929,9.392,
0.028,55.667,3466.77,2828.98,33.363,57214.9,738.292,25.735,9.063,
0.028,55.437,3497.68,2837.58,34.166,57178.6,759.261,24.953,8.911,
0.03,54.644,3476.14,2836.08,33.718,56785.2,708.293,24.968,9.155,
0.028,55.479,3489.25,2842.82,34.02,56941.3,707.929,25.202,8.854,
0.028,55.169,3522.63,2879.14,35.179,58083.2,738.088,26.141,9.3,
0.036,56.898,3722.9,2992.55,39.141,60594.8,761.172,26.947,9.605,
0.031,57.733,3622.81,2908.62,36.79,59095.4,728.749,27.023,9.716,
